ROI Label,ROI Name,R,A,S,Label Name,Network Name,Full Component Name
102,17Networks_RH_VisCent_ExStr_2,48,-72,-6,17Networks_RH_VisCent_ExStr,central visual,extrastriate cortex
103,17Networks_RH_VisCent_Striate_1,12,-92,-6,17Networks_RH_VisCent_Striate,central visual,striate cortex
104,17Networks_RH_VisCent_ExStr_3,30,-94,-4,17Networks_RH_VisCent_ExStr,central visual,extrastriate cortex
105,17Networks_RH_VisCent_ExStr_4,42,-80,10,17Networks_RH_VisCent_ExStr,central visual,extrastriate cortex
106,17Networks_RH_VisCent_ExStr_5,20,-90,22,17Networks_RH_VisCent_ExStr,central visual,extrastriate cortex
107,17Networks_RH_VisPeri_ExStrInf_1,12,-64,-4,17Networks_RH_VisPeri_ExStrInf,peripheral visual,extra-striate inferior
108,17Networks_RH_VisPeri_ExStrInf_2,16,-46,-2,17Networks_RH_VisPeri_ExStrInf,peripheral visual,extra-striate inferior
109,17Networks_RH_VisPeri_StriCal_1,8,-76,8,17Networks_RH_VisPeri_StriCal,peripheral visual,striate calcarine
110,17Networks_RH_VisPeri_ExStrSup_1,22,-60,8,17Networks_RH_VisPeri_ExStrSup,peripheral visual,extra-striate superior
111,17Networks_RH_VisPeri_ExStrSup_2,10,-74,26,17Networks_RH_VisPeri_ExStrSup,peripheral visual,extra-striate superior
112,17Networks_RH_VisPeri_ExStrSup_3,16,-84,40,17Networks_RH_VisPeri_ExStrSup,peripheral visual,extra-striate superior
113,17Networks_RH_SomMotA_1,52,-22,52,17Networks_RH_SomMotA,somatomotor A,somatomotor A
114,17Networks_RH_SomMotA_2,46,-12,48,17Networks_RH_SomMotA,somatomotor A,somatomotor A
115,17Networks_RH_SomMotA_3,6,-10,52,17Networks_RH_SomMotA,somatomotor A,somatomotor A
116,17Networks_RH_SomMotA_4,40,-24,58,17Networks_RH_SomMotA,somatomotor A,somatomotor A
117,17Networks_RH_SomMotA_5,32,-40,64,17Networks_RH_SomMotA,somatomotor A,somatomotor A
118,17Networks_RH_SomMotA_6,34,-20,66,17Networks_RH_SomMotA,somatomotor A,somatomotor A
119,17Networks_RH_SomMotA_7,28,-34,66,17Networks_RH_SomMotA,somatomotor A,somatomotor A
120,17Networks_RH_SomMotA_8,22,-8,68,17Networks_RH_SomMotA,somatomotor A,somatomotor A
121,17Networks_RH_SomMotA_9,10,-40,70,17Networks_RH_SomMotA,somatomotor A,somatomotor A
122,17Networks_RH_SomMotA_10,6,-22,68,17Networks_RH_SomMotA,somatomotor A,somatomotor A
123,17Networks_RH_SomMotA_11,20,-30,70,17Networks_RH_SomMotA,somatomotor A,somatomotor A
124,17Networks_RH_SomMotB_Aud_1,52,-14,4,17Networks_RH_SomMotB_Aud,somatomotor B,auditory
125,17Networks_RH_SomMotB_Aud_2,64,-24,8,17Networks_RH_SomMotB_Aud,somatomotor B,auditory
126,17Networks_RH_SomMotB_S2_1,38,-14,14,17Networks_RH_SomMotB_S2,somatomotor B,S2
127,17Networks_RH_SomMotB_S2_2,44,-28,18,17Networks_RH_SomMotB_S2,somatomotor B,S2
128,17Networks_RH_SomMotB_S2_3,60,0,10,17Networks_RH_SomMotB_S2,somatomotor B,S2
129,17Networks_RH_SomMotB_S2_4,56,-12,14,17Networks_RH_SomMotB_S2,somatomotor B,S2
130,17Networks_RH_SomMotB_Cent_1,58,-4,30,17Networks_RH_SomMotB_Cent,somatomotor B,central 
131,17Networks_RH_DorsAttnA_TempOcc_1,50,-54,-16,17Networks_RH_DorsAttnA_TempOcc,dorsal attention A,temporal occipital
132,17Networks_RH_DorsAttnA_ParOcc_1,52,-60,10,17Networks_RH_DorsAttnA_ParOcc,dorsal attention A,parietal occipital
133,17Networks_RH_DorsAttnA_SPL_1,32,-74,32,17Networks_RH_DorsAttnA_SPL,dorsal attention A,superior parietal lobule
134,17Networks_RH_DorsAttnA_SPL_2,14,-74,52,17Networks_RH_DorsAttnA_SPL,dorsal attention A,superior parietal lobule
135,17Networks_RH_DorsAttnA_SPL_3,34,-48,50,17Networks_RH_DorsAttnA_SPL,dorsal attention A,superior parietal lobule
136,17Networks_RH_DorsAttnA_SPL_4,26,-62,58,17Networks_RH_DorsAttnA_SPL,dorsal attention A,superior parietal lobule
137,17Networks_RH_DorsAttnB_PostC_1,60,-16,34,17Networks_RH_DorsAttnB_PostC,dorsal attention B,post central
138,17Networks_RH_DorsAttnB_PostC_2,42,-32,46,17Networks_RH_DorsAttnB_PostC,dorsal attention B,post central
139,17Networks_RH_DorsAttnB_PostC_3,8,-56,62,17Networks_RH_DorsAttnB_PostC,dorsal attention B,post central
140,17Networks_RH_DorsAttnB_PostC_4,22,-48,70,17Networks_RH_DorsAttnB_PostC,dorsal attention B,post central
141,17Networks_RH_DorsAttnB_FEF_1,34,-4,52,17Networks_RH_DorsAttnB_FEF,dorsal attention B,frontal eye fields
142,17Networks_RH_SalVentAttnA_ParOper_1,60,-26,28,17Networks_RH_SalVentAttnA_ParOper,salience / ventral attention A,parietal operculum
143,17Networks_RH_SalVentAttnA_PrC_1,50,4,40,17Networks_RH_SalVentAttnA_PrC,salience / ventral attention A,precentral 
144,17Networks_RH_SalVentAttnA_Ins_1,40,6,-16,17Networks_RH_SalVentAttnA_Ins,salience / ventral attention A,insula
145,17Networks_RH_SalVentAttnA_Ins_2,46,-4,-4,17Networks_RH_SalVentAttnA_Ins,salience / ventral attention A,insula
